age,samp_no,chain_no,ar,N
0,100001,1,0.16293929712460065,313
0,100001,2,0.10543130990415335,313
0,100001,3,0.15335463258785942,313
0,100001,4,0.08945686900958466,313
0,100001,5,0.134185303514377,313
0,101251,1,0.14057507987220447,313
0,101251,2,0.14057507987220447,313
0,101251,3,0.10543130990415335,313
0,101251,4,0.11182108626198083,313
0,101251,5,0.14376996805111822,313
0,102501,1,0.10223642172523961,313
0,102501,2,0.12779552715654952,313
0,102501,3,0.15654952076677317,313
0,102501,4,0.1182108626198083,313
0,102501,5,0.11182108626198083,313
0,103751,1,0.15335463258785942,313
0,103751,2,0.12460063897763578,313
0,103751,3,0.16293929712460065,313
0,103751,4,0.12460063897763578,313
0,103751,5,0.12460063897763578,313
0,105001,1,0.12779552715654952,313
0,105001,2,0.14696485623003194,313
0,105001,3,0.15654952076677317,313
0,105001,4,0.14057507987220447,313
0,105001,5,0.11501597444089456,313
0,106251,1,0.13099041533546327,313
0,106251,2,0.13099041533546327,313
0,106251,3,0.134185303514377,313
0,106251,4,0.14696485623003194,313
0,106251,5,0.11182108626198083,313
0,107501,1,0.16932907348242812,313
0,107501,2,0.13099041533546327,313
0,107501,3,0.14057507987220447,313
0,107501,4,0.1501597444089457,313
0,107501,5,0.16293929712460065,313
0,108751,1,0.12460063897763578,313
0,108751,2,0.10543130990415335,313
0,108751,3,0.15654952076677317,313
0,108751,4,0.10223642172523961,313
0,108751,5,0.16613418530351437,313
0,110001,1,0.11501597444089456,313
0,110001,2,0.14057507987220447,313
0,110001,3,0.12140575079872204,313
0,110001,4,0.11501597444089456,313
0,110001,5,0.13738019169329074,313
0,111251,1,0.15335463258785942,313
0,111251,2,0.10543130990415335,313
0,111251,3,0.09904153354632587,313
0,111251,4,0.11182108626198083,313
0,111251,5,0.13099041533546327,313
0,112501,1,0.12779552715654952,313
0,112501,2,0.1757188498402556,313
0,112501,3,0.14696485623003194,313
0,112501,4,0.13099041533546327,313
0,112501,5,0.15335463258785942,313
0,113751,1,0.12140575079872204,313
0,113751,2,0.11501597444089456,313
0,113751,3,0.11182108626198083,313
0,113751,4,0.12779552715654952,313
0,113751,5,0.12779552715654952,313
0,115001,1,0.12460063897763578,313
0,115001,2,0.14696485623003194,313
0,115001,3,0.16932907348242812,313
0,115001,4,0.12460063897763578,313
0,115001,5,0.13099041533546327,313
0,116251,1,0.10543130990415335,313
0,116251,2,0.1501597444089457,313
0,116251,3,0.13099041533546327,313
0,116251,4,0.1182108626198083,313
0,116251,5,0.11501597444089456,313
0,117501,1,0.15335463258785942,313
0,117501,2,0.13738019169329074,313
0,117501,3,0.10862619808306709,313
0,117501,4,0.1597444089456869,313
0,117501,5,0.134185303514377,313
0,118751,1,0.14057507987220447,313
0,118751,2,0.1182108626198083,313
0,118751,3,0.15335463258785942,313
0,118751,4,0.12779552715654952,313
0,118751,5,0.1597444089456869,313
0,120001,1,0.1501597444089457,313
0,120001,2,0.14696485623003194,313
0,120001,3,0.11182108626198083,313
0,120001,4,0.12140575079872204,313
0,120001,5,0.14057507987220447,313
0,121251,1,0.134185303514377,313
0,121251,2,0.13738019169329074,313
0,121251,3,0.1501597444089457,313
0,121251,4,0.10223642172523961,313
0,121251,5,0.1501597444089457,313
0,122501,1,0.1853035143769968,313
0,122501,2,0.12779552715654952,313
0,122501,3,0.12460063897763578,313
0,122501,4,0.10543130990415335,313
0,122501,5,0.12140575079872204,313
0,123751,1,0.15335463258785942,313
0,123751,2,0.16932907348242812,313
0,123751,3,0.15654952076677317,313
0,123751,4,0.16613418530351437,313
0,123751,5,0.12779552715654952,313
0,125001,1,0.16932907348242812,313
0,125001,2,0.14376996805111822,313
0,125001,3,0.13738019169329074,313
0,125001,4,0.12140575079872204,313
0,125001,5,0.15335463258785942,313
0,126251,1,0.17252396166134185,313
0,126251,2,0.15654952076677317,313
0,126251,3,0.1597444089456869,313
0,126251,4,0.1501597444089457,313
0,126251,5,0.14376996805111822,313
0,127501,1,0.16293929712460065,313
0,127501,2,0.12779552715654952,313
0,127501,3,0.134185303514377,313
0,127501,4,0.11501597444089456,313
0,127501,5,0.13738019169329074,313
0,128751,1,0.12779552715654952,313
0,128751,2,0.1182108626198083,313
0,128751,3,0.13738019169329074,313
0,128751,4,0.134185303514377,313
0,128751,5,0.14696485623003194,313
0,130001,1,0.14696485623003194,313
