age,samp_no,chain_no,ar,N
0,301001,1,0.07987220447284345,313
0,301001,2,0.0926517571884984,313
0,301001,3,0.12779552715654952,313
0,301001,4,0.13738019169329074,313
0,301001,5,0.16293929712460065,313
0,304501,1,0.12779552715654952,313
0,304501,2,0.134185303514377,313
0,304501,3,0.11501597444089456,313
0,304501,4,0.134185303514377,313
0,304501,5,0.13099041533546327,313
0,308001,1,0.11501597444089456,313
0,308001,2,0.13099041533546327,313
0,308001,3,0.13738019169329074,313
0,308001,4,0.1501597444089457,313
0,308001,5,0.16293929712460065,313
0,311501,1,0.14057507987220447,313
0,311501,2,0.11182108626198083,313
0,311501,3,0.12460063897763578,313
0,311501,4,0.134185303514377,313
0,311501,5,0.18210862619808307,313
0,315001,1,0.10862619808306709,313
0,315001,2,0.14057507987220447,313
0,315001,3,0.10223642172523961,313
0,315001,4,0.13099041533546327,313
0,315001,5,0.10223642172523961,313
0,318501,1,0.12140575079872204,313
0,318501,2,0.1597444089456869,313
0,318501,3,0.11501597444089456,313
0,318501,4,0.12140575079872204,313
0,318501,5,0.13099041533546327,313
0,322001,1,0.12140575079872204,313
0,322001,2,0.13099041533546327,313
0,322001,3,0.14696485623003194,313
0,322001,4,0.11182108626198083,313
0,322001,5,0.17252396166134185,313
0,325501,1,0.14696485623003194,313
0,325501,2,0.12460063897763578,313
0,325501,3,0.1501597444089457,313
0,325501,4,0.16293929712460065,313
0,325501,5,0.12460063897763578,313
0,329001,1,0.14057507987220447,313
0,329001,2,0.14376996805111822,313
0,329001,3,0.11501597444089456,313
0,329001,4,0.13099041533546327,313
0,329001,5,0.134185303514377,313
0,332501,1,0.15335463258785942,313
0,332501,2,0.12140575079872204,313
0,332501,3,0.13738019169329074,313
0,332501,4,0.134185303514377,313
0,332501,5,0.15654952076677317,313
0,336001,1,0.12779552715654952,313
0,336001,2,0.13738019169329074,313
0,336001,3,0.15335463258785942,313
0,336001,4,0.16293929712460065,313
0,336001,5,0.14696485623003194,313
0,339501,1,0.13738019169329074,313
0,339501,2,0.14376996805111822,313
0,339501,3,0.1501597444089457,313
0,339501,4,0.12460063897763578,313
0,339501,5,0.14376996805111822,313
0,343001,1,0.12460063897763578,313
0,343001,2,0.12460063897763578,313
0,343001,3,0.12140575079872204,313
0,343001,4,0.15654952076677317,313
0,343001,5,0.14057507987220447,313
0,346501,1,0.14057507987220447,313
0,346501,2,0.10862619808306709,313
0,346501,3,0.14376996805111822,313
0,346501,4,0.10543130990415335,313
0,346501,5,0.1501597444089457,313
0,350001,1,0.12140575079872204,313
0,350001,2,0.11501597444089456,313
0,350001,3,0.19169329073482427,313
0,350001,4,0.10862619808306709,313
0,350001,5,0.09904153354632587,313
0,353501,1,0.14376996805111822,313
0,353501,2,0.1597444089456869,313
0,353501,3,0.14696485623003194,313
0,353501,4,0.13099041533546327,313
0,353501,5,0.14376996805111822,313
0,357001,1,0.13738019169329074,313
0,357001,2,0.11501597444089456,313
0,357001,3,0.10543130990415335,313
0,357001,4,0.14057507987220447,313
0,357001,5,0.12460063897763578,313
0,360501,1,0.14696485623003194,313
0,360501,2,0.10862619808306709,313
0,360501,3,0.134185303514377,313
0,360501,4,0.10543130990415335,313
0,360501,5,0.14057507987220447,313
0,364001,1,0.11182108626198083,313
0,364001,2,0.12779552715654952,313
0,364001,3,0.11182108626198083,313
0,364001,4,0.12779552715654952,313
0,364001,5,0.10543130990415335,313
0,367501,1,0.1501597444089457,313
0,367501,2,0.14057507987220447,313
0,367501,3,0.14376996805111822,313
0,367501,4,0.12460063897763578,313
0,367501,5,0.0926517571884984,313
0,371001,1,0.18210862619808307,313
0,371001,2,0.10862619808306709,313
0,371001,3,0.1597444089456869,313
0,371001,4,0.10543130990415335,313
0,371001,5,0.134185303514377,313
0,374501,1,0.14057507987220447,313
0,374501,2,0.13099041533546327,313
0,374501,3,0.12779552715654952,313
0,374501,4,0.14057507987220447,313
0,374501,5,0.12460063897763578,313
0,378001,1,0.15654952076677317,313
0,378001,2,0.12460063897763578,313
0,378001,3,0.1501597444089457,313
0,378001,4,0.14696485623003194,313
0,378001,5,0.12779552715654952,313
0,381501,1,0.12779552715654952,313
0,381501,2,0.1597444089456869,313
0,381501,3,0.13738019169329074,313
0,381501,4,0.1501597444089457,313
0,381501,5,0.12460063897763578,313
0,385001,1,0.11182108626198083,313
0,385001,2,0.14376996805111822,313
0,385001,3,0.16293929712460065,313
0,385001,4,0.16293929712460065,313
0,385001,5,0.1182108626198083,313
0,388501,1,0.11182108626198083,313
